title,text,label
Naruto SEASON 12 CANCELLED due to studio bankruptcy,Naruto SEASON 12 CANCELLED due to studio bankruptcy (auto-generated fake news),fake
Attack on Titan rumored to be replaced by AI animation,Attack on Titan rumored to be replaced by AI animation (auto-generated fake news),fake
BREAKING: Sailor Moon returns in new reboot confirmed by exclusive report,BREAKING: Sailor Moon returns in new reboot confirmed by exclusive report (auto-generated fake news),fake
One Piece SEASON 4 CANCELLED due to legal disputes,One Piece SEASON 4 CANCELLED due to legal disputes (auto-generated fake news),fake
BREAKING: Sailor Moon returns in new reboot confirmed by anonymous leaker,BREAKING: Sailor Moon returns in new reboot confirmed by anonymous leaker (auto-generated fake news),fake
Attack on Titan CREATOR secretly working on prequel series,Attack on Titan CREATOR secretly working on prequel series (auto-generated fake news),fake
Vinland Saga SEASON 2 CANCELLED due to legal disputes,Vinland Saga SEASON 2 CANCELLED due to legal disputes (auto-generated fake news),fake
Steins;Gate SEASON 12 CANCELLED due to piracy issues,Steins;Gate SEASON 12 CANCELLED due to piracy issues (auto-generated fake news),fake
Vinland Saga CREATOR secretly working on movie franchise,Vinland Saga CREATOR secretly working on movie franchise (auto-generated fake news),fake
"Fullmetal Alchemist ANIME gets Amazon Prime-only release, fans furious","Fullmetal Alchemist ANIME gets Amazon Prime-only release, fans furious (auto-generated fake news)",fake
Fullmetal Alchemist SEASON 11 CANCELLED due to legal disputes,Fullmetal Alchemist SEASON 11 CANCELLED due to legal disputes (auto-generated fake news),fake
BREAKING: Vinland Saga returns in new reboot confirmed by Twitter account,BREAKING: Vinland Saga returns in new reboot confirmed by Twitter account (auto-generated fake news),fake
Bleach suspended in Japan due to extreme violence,Bleach suspended in Japan due to extreme violence (auto-generated fake news),fake
"Dragon Ball ANIME gets Amazon Prime-only release, fans furious","Dragon Ball ANIME gets Amazon Prime-only release, fans furious (auto-generated fake news)",fake
Spy x Family CONFIRMED crossover with Bleach,Spy x Family CONFIRMED crossover with Bleach (auto-generated fake news),fake
"Naruto ANIME gets Crunchyroll-only release, fans furious","Naruto ANIME gets Crunchyroll-only release, fans furious (auto-generated fake news)",fake
My Hero Academia suspended in Japan due to extreme violence,My Hero Academia suspended in Japan due to extreme violence (auto-generated fake news),fake
Naruto suspended in Japan due to extreme violence,Naruto suspended in Japan due to extreme violence (auto-generated fake news),fake
Hunter x Hunter CONFIRMED crossover with Chainsaw Man,Hunter x Hunter CONFIRMED crossover with Chainsaw Man (auto-generated fake news),fake
